"path","name","id","kind","extension","size","mimeType","webViewLink"
"ESTRUCTURAS_ESTUDIO","01. Informe.","13PizN59DgPYqRPzft8_9KfYlCrdfBiyr","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/13PizN59DgPYqRPzft8_9KfYlCrdfBiyr"
"ESTRUCTURAS_ESTUDIO/01. Informe.","1. INFORME ESTRUCTURAS Y OBRAS DE ARTE_VF_V2..docx","1bMC7qjBeN9u4Bk-nlkRHG8WbMQQVchrw","file","docx","14787179","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1bMC7qjBeN9u4Bk-nlkRHG8WbMQQVchrw/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"ESTRUCTURAS_ESTUDIO/01. Informe.","1. INFORME ESTRUCTURAS Y OBRAS DE ARTE_VF_V2..pdf","1ixfOmZMomSevp3WUMqR8HjHxPirjmo6E","file","pdf","3682581","application/pdf","https://drive.google.com/file/d/1ixfOmZMomSevp3WUMqR8HjHxPirjmo6E/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/01. Informe.","SEPARADOR..docx","1DZEQEPfL-UErv5WuJwSiMAq5_OFmeAW3","file","docx","54669","application/vnd.openxmlformats-officedocument.wordprocessingml.document","https://docs.google.com/document/d/1DZEQEPfL-UErv5WuJwSiMAq5_OFmeAW3/edit?usp=drivesdk&ouid=111937121581374211483&rtpof=true&sd=true"
"ESTRUCTURAS_ESTUDIO","02. Memoria de Calculo.","1ThV8n7kL_eGVcS5mkGaJkFK0f2kMxkVN","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1ThV8n7kL_eGVcS5mkGaJkFK0f2kMxkVN"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo.","01. Alcantarillas MCA.","1BsvDnDzGlUibz11nXUMliPW6yUiq5zm3","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1BsvDnDzGlUibz11nXUMliPW6yUiq5zm3"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA.","1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","1GLYTHKp67jDfUnCarGoT43U-uH7CZpep","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1GLYTHKp67jDfUnCarGoT43U-uH7CZpep"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.$2k","17N1MwP66_KJ5EPV19PrBW6_43f0VPB9o","file","$2k","46735","application/octet-stream","https://drive.google.com/file/d/17N1MwP66_KJ5EPV19PrBW6_43f0VPB9o/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.ico","1DuJTJb6yuwPTP18yyyXTIIBMxWZm4Dap","file","ico","3548","image/png","https://drive.google.com/file/d/1DuJTJb6yuwPTP18yyyXTIIBMxWZm4Dap/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.K_0","1nTV_D8KgsbtaBspH5tCZxlm2QxNULgJ3","file","K_0","14221","application/octet-stream","https://drive.google.com/file/d/1nTV_D8KgsbtaBspH5tCZxlm2QxNULgJ3/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.K_I","1D1dcBl0gY53sqtu2QnorgW_FWUnOkRZ1","file","K_I","312","application/octet-stream","https://drive.google.com/file/d/1D1dcBl0gY53sqtu2QnorgW_FWUnOkRZ1/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.K_J","1n2cMvmXGNSaBns4t1XPCvPn59TbYxVN8","file","K_J","768","application/octet-stream","https://drive.google.com/file/d/1n2cMvmXGNSaBns4t1XPCvPn59TbYxVN8/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.K_M","13_eh7eBD_3cBTl3o0M4576MubAkNlXE9","file","K_M","624","application/octet-stream","https://drive.google.com/file/d/13_eh7eBD_3cBTl3o0M4576MubAkNlXE9/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.LOG","1-qGGgUZWhvU1njGmxmyDA083p-is2Lg5","file","LOG","5062","text/plain","https://drive.google.com/file/d/1-qGGgUZWhvU1njGmxmyDA083p-is2Lg5/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.msh","1PsTBRUaIVikuhx0VJhuR44V0iig1Pmiy","file","msh","86463","model/mesh","https://drive.google.com/file/d/1PsTBRUaIVikuhx0VJhuR44V0iig1Pmiy/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.OUT","1AKzd6rDZ9y-_lUMC8LGZWZR1gC4spnhq","file","OUT","672","application/octet-stream","https://drive.google.com/file/d/1AKzd6rDZ9y-_lUMC8LGZWZR1gC4spnhq/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.sbk","1XC5NbRVHWOtM68gMVLSotLtdTJ8eHWVo","file","sbk","18155","application/octet-stream","https://drive.google.com/file/d/1XC5NbRVHWOtM68gMVLSotLtdTJ8eHWVo/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.sdb","1IxCMCGXhBRLK6BE7cjsdOj8jBbuS765a","file","sdb","18155","application/octet-stream","https://drive.google.com/file/d/1IxCMCGXhBRLK6BE7cjsdOj8jBbuS765a/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y","1FMLvPW5pnVOFfH35jl8Sl4_a1eIYWc-d","file","Y","13975","application/octet-stream","https://drive.google.com/file/d/1FMLvPW5pnVOFfH35jl8Sl4_a1eIYWc-d/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y$$","18zzBc496FqzezfTE-MbcBDbTlfnt4DnY","file","Y$$","672","application/octet-stream","https://drive.google.com/file/d/18zzBc496FqzezfTE-MbcBDbTlfnt4DnY/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y00","13oZnlo-Q5vmjVzMJXqGuuPQukWSoKJrI","file","Y00","14352","application/octet-stream","https://drive.google.com/file/d/13oZnlo-Q5vmjVzMJXqGuuPQukWSoKJrI/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y01","1Nb7PFkbaaXSxia7pu6iOOLIPWnE4R8dM","file","Y01","4368","application/octet-stream","https://drive.google.com/file/d/1Nb7PFkbaaXSxia7pu6iOOLIPWnE4R8dM/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y02","1tE9yqVUAkwxrllgqKGLGahkst2oPKACU","file","Y02","4368","application/octet-stream","https://drive.google.com/file/d/1tE9yqVUAkwxrllgqKGLGahkst2oPKACU/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y03","1PVylX61TmipQk71wqq-YIiqjwX9DuJf6","file","Y03","14352","application/octet-stream","https://drive.google.com/file/d/1PVylX61TmipQk71wqq-YIiqjwX9DuJf6/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y04","1gu09OBVQMQTZW_3ruZ4xFeF_9OQqnuId","file","Y04","8448","application/octet-stream","https://drive.google.com/file/d/1gu09OBVQMQTZW_3ruZ4xFeF_9OQqnuId/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y05","1PLcXsF0kxmKC4U0bk-X_x5BkxEjfEX5O","file","Y05","6864","application/octet-stream","https://drive.google.com/file/d/1PLcXsF0kxmKC4U0bk-X_x5BkxEjfEX5O/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y06","1oo6yyX3yiXR9wRhFEcB0948Xh_VcBLGh","file","Y06","27596","application/octet-stream","https://drive.google.com/file/d/1oo6yyX3yiXR9wRhFEcB0948Xh_VcBLGh/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y_","1QN3eHDwvo_uitRrTDsdoK0yQfxvl5Tle","file","Y_","35627","application/octet-stream","https://drive.google.com/file/d/1QN3eHDwvo_uitRrTDsdoK0yQfxvl5Tle/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./1.0 AMC-0.40X0.40  DISEÑO ESTRUCTURAL OK.","AMC-0.40X0.40.Y_1","1ODK1ixLNjNQEvM4vtE0NuxeBc_Ol944O","file","Y_1","48","application/octet-stream","https://drive.google.com/file/d/1ODK1ixLNjNQEvM4vtE0NuxeBc_Ol944O/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA.","2.0 AMC-0.60X0.60  DISEÑO ESTRUCTURAL OK.","1j0mF4EhOL3fMNq0eLVcMcXt6dOz5Sheq","folder",,,"application/vnd.google-apps.folder","https://drive.google.com/drive/folders/1j0mF4EhOL3fMNq0eLVcMcXt6dOz5Sheq"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./2.0 AMC-0.60X0.60  DISEÑO ESTRUCTURAL OK.","AMC-0.60X0.60.$2k","10MfJDzkkhqB1f5UUYMy8JcSiDfh-WXpJ","file","$2k","45491","application/octet-stream","https://drive.google.com/file/d/10MfJDzkkhqB1f5UUYMy8JcSiDfh-WXpJ/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./2.0 AMC-0.60X0.60  DISEÑO ESTRUCTURAL OK.","AMC-0.60X0.60.ico","1DutB9Zz7cBNKMGtgVu4innJy8Iub1Hva","file","ico","1554","image/png","https://drive.google.com/file/d/1DutB9Zz7cBNKMGtgVu4innJy8Iub1Hva/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./2.0 AMC-0.60X0.60  DISEÑO ESTRUCTURAL OK.","AMC-0.60X0.60.K_0","1PvGbTQxa1IMeOovPQQROm32YK_dt0loD","file","K_0","14221","application/octet-stream","https://drive.google.com/file/d/1PvGbTQxa1IMeOovPQQROm32YK_dt0loD/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./2.0 AMC-0.60X0.60  DISEÑO ESTRUCTURAL OK.","AMC-0.60X0.60.K_I","1aIviMtzMgB17Px51nRghmMEEdIYnXNUF","file","K_I","312","application/octet-stream","https://drive.google.com/file/d/1aIviMtzMgB17Px51nRghmMEEdIYnXNUF/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./2.0 AMC-0.60X0.60  DISEÑO ESTRUCTURAL OK.","AMC-0.60X0.60.K_J","1RFJeXaZYxF7IN4u6sY33YBvw7TpAtkvt","file","K_J","768","application/octet-stream","https://drive.google.com/file/d/1RFJeXaZYxF7IN4u6sY33YBvw7TpAtkvt/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./2.0 AMC-0.60X0.60  DISEÑO ESTRUCTURAL OK.","AMC-0.60X0.60.K_M","16DpH6tGN_PXmKhXMH0l-rnDU3CaBKM4T","file","K_M","624","application/octet-stream","https://drive.google.com/file/d/16DpH6tGN_PXmKhXMH0l-rnDU3CaBKM4T/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./2.0 AMC-0.60X0.60  DISEÑO ESTRUCTURAL OK.","AMC-0.60X0.60.LOG","1FpZsHRHHviXaz7QIeQBAOZHDSD-4DNCL","file","LOG","5422","text/plain","https://drive.google.com/file/d/1FpZsHRHHviXaz7QIeQBAOZHDSD-4DNCL/view?usp=drivesdk"
